jurisdiction,district_number,district_name,total_party_votes,total_votes,fptp_winner,fptp_party,fptp_is_independent,rpv_winner,result_change,rpv_party
Ontario,35115,Willowdale,41104,41104,"Ehsassi, Ali",Liberal,False,"Ehsassi, Ali",False,Liberal
Ontario,35111,Vaughan–Woodbridge,47003,47162,"Sorbara, Francesco",Liberal,False,"Sorbara, Francesco",False,Liberal
Manitoba,46004,Dauphin–Swan River–Neepawa,38514,38514,"Mazier, Dan",Conservative,False,"McKenna, Donnan",True,People's Party - PPC
Ontario,35072,Oakville,61000,61000,"Anand, Anita",Liberal,False,"Anand, Anita",False,Liberal
Ontario,35114,Whitby,62066,62066,"Turnbull, Ryan",Liberal,False,"Turnbull, Ryan",False,Liberal
Manitoba,46008,Provencher,48535,49901,"Falk, Ted",Conservative,False,"Gautron, Nöel",True,People's Party - PPC
Ontario,35119,York–Simcoe,49831,49831,"Davidson, Scot",Conservative,False,"Davidson, Scot",False,Conservative
Ontario,35120,York South–Weston,38570,38570,"Hussen, Ahmed",Liberal,False,"Hussen, Ahmed",False,Liberal
Manitoba,46012,Winnipeg North,31408,31408,"Lamoureux, Kevin",Liberal,False,"Lamoureux, Kevin",False,Liberal
Manitoba,46002,Charleswood–St. James–Assiniboia–Headingley,45277,45277,"Morantz, Marty",Conservative,False,"Morantz, Marty",False,Conservative
Manitoba,46014,Winnipeg South Centre,48771,48771,"Carr, Jim",Liberal,False,"Carr, Jim",False,Liberal
Ontario,35112,Waterloo,59654,59654,"Chagger, Bardish",Liberal,False,"Chagger, Bardish",False,Liberal
Manitoba,46006,Kildonan–St. Paul,43947,43947,"Dancho, Raquel",Conservative,False,"Dancho, Raquel",False,Conservative
Saskatchewan,47005,Moose Jaw–Lake Centre–Lanigan,41184,41184,"Tolmie, Fraser",Conservative,False,"Craik, Chey",True,People's Party - PPC
Saskatchewan,47007,Regina–Lewvan,45643,45643,"Steinley, Warren",Conservative,False,"Donaldson, Tria",True,NDP-New Democratic Party
Manitoba,46007,Portage–Lisgar,45356,45356,"Bergen, Candice",Conservative,False,"Wiebe, Solomon",True,People's Party - PPC
Ontario,35113,Wellington–Halton Hills,67656,67656,"Chong, Michael",Conservative,False,"Chong, Michael",False,Conservative
Ontario,35117,Windsor West,48693,48693,"Masse, Brian",NDP-New Democratic Party,False,"Masse, Brian",False,NDP-New Democratic Party
Ontario,35116,Windsor–Tecumseh,56977,56977,"Kusmierczyk, Irek",Liberal,False,"Hardcastle, Cheryl",True,NDP-New Democratic Party
Ontario,35118,York Centre,36858,36858,"Saks, Ya'ara",Liberal,False,"Saks, Ya'ara",False,Liberal
Manitoba,46011,Winnipeg Centre,29749,29749,"Gazan, Leah",NDP-New Democratic Party,False,"Gazan, Leah",False,NDP-New Democratic Party
Manitoba,46013,Winnipeg South,47245,47245,"Duguid, Terry",Liberal,False,"Duguid, Terry",False,Liberal
Manitoba,46001,Brandon–Souris,38160,38160,"Maguire, Larry",Conservative,False,"Maguire, Larry",False,Conservative
Saskatchewan,47001,Battlefords–Lloydminster,31048,31048,"Falk, Rosemarie",Conservative,False,"Falk, Rosemarie",False,Conservative
Saskatchewan,47002,Cypress Hills–Grasslands,34084,34277,"Patzer, Jeremy",Conservative,False,"Patzer, Jeremy",False,Conservative
Ontario,35105,Thunder Bay–Rainy River,39860,39860,"Powlowski, Marcus",Liberal,False,"Won, Yuk-Sem",True,NDP-New Democratic Party
Saskatchewan,47004,Carlton Trail–Eagle Creek,41089,41089,"Block, Kelly",Conservative,False,"Block, Kelly",False,Conservative
Alberta,48005,Calgary Confederation,61631,61631,"Webber, Len",Conservative,False,"Webber, Len",False,Conservative
Alberta,48001,Banff–Airdrie,76439,76988,"Richards, Blake",Conservative,False,"Richards, Blake",False,Conservative
Saskatchewan,47006,Prince Albert ,34425,34425,"Hoback, Randy",Conservative,False,"Hoback, Randy",False,Conservative
Alberta,48007,Calgary Heritage,53542,53542,"Benzen, Bob",Conservative,False,"Benzen, Bob",False,Conservative
Manitoba,46010,Selkirk–Interlake–Eastman,49607,49607,"Bezan, James",Conservative,False,"Bezan, James",False,Conservative
